user_id,city,email,signup_date
111,San Francisco,rrok10@gmail.com,08/03/2021 12:00:00
148,Boston,sailor9820@gmail.com,08/20/2021 12:00:00
178,San Francisco,harrypotterfan182@gmail.com,01/05/2022 12:00:00
265,Denver,shadower_@hotmail.com,02/26/2022 12:00:00
300,San Francisco,houstoncowboy1122@hotmail.com,06/30/2022 12:00:00
301,Los Angeles,zwang@gmail.com,09/01/2024 15:02:47
302,San Francisco,kim17@guerrero-cline.com,01/16/2024 10:53:33
303,Los Angeles,uporter@lang.org,07/29/2023 09:32:03
304,Denver,jennifer66@gmail.com,07/29/2025 23:46:54
305,Los Angeles,millerjoanna@yahoo.com,03/19/2023 14:50:14
306,Chicago,nunezedwin@rodriguez.com,03/01/2023 04:03:28
307,Boston,katherine02@yahoo.com,05/16/2024 17:37:32
308,Denver,bensoneric@yahoo.com,05/19/2023 07:37:58
309,Denver,lawrencebryan@yahoo.com,05/09/2023 14:14:01
310,New York,vvazquez@gmail.com,01/07/2024 11:43:17
311,Miami,smithsabrina@yahoo.com,07/28/2024 11:44:46
312,Miami,iwhitehead@lopez-young.com,05/18/2024 04:40:21
313,Seattle,daniel30@andrews-lopez.com,10/05/2023 00:15:41
314,Boston,jessicanicholson@mejia.com,08/11/2023 15:14:46
315,Boston,hannah02@hotmail.com,06/27/2025 01:09:32
316,Miami,turnershelby@williams.info,10/03/2022 00:23:54
317,Los Angeles,jimmy67@leon.com,10/08/2022 18:52:13
318,Chicago,katherinewhite@gmail.com,06/11/2023 23:00:36
319,Los Angeles,johnsmith@yahoo.com,04/28/2024 00:06:33
320,Miami,kimberlyparker@miller.com,01/21/2025 16:45:56
321,Chicago,obrienronald@hotmail.com,12/10/2022 11:47:14
322,New York,connerapril@wise.com,01/03/2025 01:59:18
323,New York,nbrown@walker-schmidt.com,04/06/2024 21:40:29
324,Chicago,gavinwang@burgess.com,10/24/2022 06:16:54
325,Boston,qward@lee-lambert.com,06/07/2024 03:51:21
326,Boston,kimberly77@nelson.com,10/27/2024 04:36:43
327,Miami,victoria80@higgins.net,02/08/2025 03:27:59
328,Seattle,gabrielwelch@hotmail.com,06/14/2025 09:27:58
329,Miami,vasquezjason@cervantes.org,06/13/2024 19:24:33
330,Denver,nicholas59@munoz.com,11/04/2023 07:30:00
331,San Francisco,vmack@yahoo.com,11/27/2022 12:14:28
332,Chicago,wangjoshua@mendez.org,08/24/2024 06:49:20
333,Seattle,xjarvis@rodriguez.com,09/21/2024 11:47:39
334,Los Angeles,william02@perry-reed.net,08/22/2024 07:22:52
335,New York,kerri44@hughes-fry.com,09/27/2023 15:34:11
